English,Filipino-Correct,Filipino-Flawed,Remarks,Contributor
"Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has taken on a life of its own.","Araw-araw, milyun-milyong manlalaro sa buong mundo ang nakikipaglaban bilang isa sa mahigit sandaang bayani ng Dota. At kahit ika-10 oras man o ika-1,000 oras na nila ito nilalaro, mayroon laging bagong matutuklasan. Sa regular na mga update, patuloy ang pag-unlad ng laro, mga tampok, at mga bayani—tila nabuhay na ang Dota 2.","Araw-araw, maraming players sa mundo ang pumapasok sa laban bilang isa sa mga heroes ng Dota. Kahit 10 o 1,000 oras pa sila naglalaro, laging may bago. Sa mga update na nangyayari palagi, ang Dota 2 ay may sariling buhay.","Mix of English and Filipino breaks tone 
consistency.",Aira Garganera / Nigel Nograles
"Grand Theft Auto V for PC offers players the option to explore the award-winning world of Los Santos and Blaine County in resolutions of up to 4k and beyond, as well as the chance to experience the game running at 60 frames per second.","Iniaalok ng Grand Theft Auto V para sa PC ang pagkakataong tuklasin ang kilalang 
mundo ng Los Santos at Blaine County sa resolusyong umaabot sa 4K o higit pa, at 
maranasan ito sa 60 frames per second.","Ang Grand Theft Auto V para sa PC ay nagbibigay ng chance para mag-eksplor ng mundo ng Los Santos at Blaine County sa resolution na 4k at higit, pati narin ang experience na may 60 frames bawat segundo.",Code-switching ,Aira Garganera / Nigel Nograles
"Tom Clancy's Rainbow Six® Siege is an elite, tactical team-based shooter where superior planning and execution triumph.","Ang Tom Clancy's Rainbow Six® Siege ay isang elite at taktikal na laro ng barilan na nakabatay sa koponan, kung saan ang mahusay na pagpaplano at pagsasakatuparan ang susi sa tagumpay.",Ang Rainbow Six Siege ay elite na shooting game kung saan ang magandang plano at execution ay nananalo.,Use of “execution” in English is jarring.,Aira Garganera / Nigel Nograles
"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!","Siyam na natatanging klase ang nagbibigay ng malawak na taktikal na kakayahan at personalidad. Patuloy itong ina-update ng mga bagong mode, mapa, kagamitan, at ang pinakamahalaga—mga sombrero!","Siyam na klase na magkakaiba ang nagbibigay ng maraming taktikal skills at personalidad. Lagi itong ina-update gamit ng bagong laro mode, mapa, gamit at pinakaimportante—mga hats!",“Gamit ng bagong laro mode” is grammatically off.,Aira Garganera / Nigel Nograles
"Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","Maghukay, lumaban, mag-eksplora, magtayo! Walang imposible sa adventure game na puno ng aksyong ito. May Four Pack din na available!","Hukay, laban, explore, build! Wala imposible sa adventure game na ito na punong-puno ng aksyon. Meron din Four Pack!",Too literal,Aira Garganera / Nigel Nograles
"The only aim in Rust is to survive. Everything wants you to die - the island's wildlife, other inhabitants, the environment, and other survivors. Do whatever it takes to last another night.","Ang tanging layunin sa Rust ay ang mabuhay. Lahat ay gustong ipahamak ka—ang kalikasan ng isla, ibang naninirahan, kapaligiran, at iba pang nakaligtas. Gawin ang lahat upang mabuhay pa ng isa pang gabi.","Ang Rust ay tungkol lang sa survival. Lahat ng bagay gusto kang patayin—hayop, mga tao, paligid, pati mga survivors. Gawin mo kahit ano para mabuhay ng isang gabi pa.",“Tungkol lang sa survival” is overly simplistic.,Aira Garganera / Nigel Nograles
Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,Ang Garry's Mod ay isang sandbox na laro tungkol sa pisika. Walang itinakdang layunin o patakaran. Binibigyan ka lang namin ng mga kagamitan at ikaw na ang bahala sa paglalaro.,Ang Garry's Mod ay physics sandbox. Walang goals o objectives. Bibigyan ka lang ng tools at maglaro ka.,Too literal and English-heavy,Aira Garganera / Nigel Nograles
"Apex Legends is the award-winning, free-to-play Hero Shooter from Respawn Entertainment. Master an ever-growing roster of legendary characters with powerful abilities, and experience strategic squad play and innovative gameplay in the next evolution of Hero Shooter and Battle Royale.","Ang Apex Legends ay ang award-winning na libreng Hero Shooter mula sa Respawn Entertainment. I-master ang lumalawak na roster ng mga makapangyarihang karakter, at maranasan ang estratehikong squad play at makabagong gameplay sa susunod na yugto ng Hero Shooter at Battle Royale.",Ang Apex Legends ay isang Hero Shooter na libre mula sa Respawn. Aralin ang mga legendary na characters at maglaro ng squad na may strategy sa bagong Hero Shooter Battle Royale.,Poor code-switching.,Aira Garganera / Nigel Nograles
"Black Myth: Wukong is an action RPG rooted in Chinese mythology. You shall set out as the Destined One to venture into the challenges and marvels ahead, to uncover the obscured truth beneath the veil of a glorious legend from the past.","Ang Black Myth: Wukong ay isang action RPG na nakaugat sa mitolohiyang Tsino. Gagampanan mo ang papel ng itinalaga upang harapin ang mga pagsubok at kababalaghan, at tuklasin ang lihim sa likod ng isang maalamat na kwento ng nakaraan.",Ang Black Myth: Wukong ay RPG na action na galing sa Chinese myth. Ikaw ay ang Destined One at pupunta ka sa adventure para hanapin ang totoo sa likod ng alamat.,“RPG na action” is grammatically awkward.,Aira Garganera / Nigel Nograles
"You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri ” the Child of Prophecy, a living weapon that can alter the shape of the world.","Ikaw si Geralt ng Rivia, isang mersenaryong tagapuksa ng halimaw. Sa harap mo ay isang lupain na winasak ng digmaan at puno ng mga nilalang, malaya mong malilibot ito. Ang misyon mo? Hanapin si Ciri, ang Batang Pinili na may kapangyarihang baguhin ang mundo.","Ikaw si Geralt ng Rivia, tagapatay ng halimaw. Sa harap mo ay isang lugar na puno ng gulo at halimaw. Ang kontrata mo? Hanapin si Ciri—ang batang may kapangyarihan na baguhin ang mundo.","Repetitive (“halimaw” twice), vague",Aira Garganera / Nigel Nograles
"THE CRITICALLY ACCLAIMED FANTASY ACTION RPG. Rise, Tarnished, and be guided by grace to brandish the power of the Elden Ring and become an Elden Lord in the Lands Between.","Ang kinikilalang fantasy action RPG. Bumangon ka, Tarnished, at hayaang akayin ka ng grasya upang angkinin ang kapangyarihan ng Elden Ring at maging isang Elden Lord sa Lupain sa Gitna.","Ang pinupuri na pantasya aksyon RPG. Bumangon ka, Napinsala, at maging ginabayan ng grasya para iwagayway ang lakas ng Elden Sing-sing at maging Panginoon ng Elden sa Gitnang Lupain.",Too literal,Aira Garganera / Nigel Nograles
"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","Minana mo ang lumang sakahan ng iyong lolo sa Stardew Valley. Bitbit ang pinaglumaan niyang mga gamit at kaunting barya, sisimulan mo ang bagong yugto ng iyong buhay. Matututo ka bang mamuhay mula sa biyaya ng lupa at gawing tahanang masigla ang masukal na bukid?","Namana mo ang luma na bukirin ng lolo mo sa Stardew Lambak. May dala kang lumang kasangkapan at ilang pera, umalis ka upang simulan ang bagong buhay. Kaya mo bang mabuhay gamit ang lupa at gawing tahanan ang sobrang damong lugar?",Too literal,Aira Garganera / Nigel Nograles
"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.","Ang Cyberpunk 2077 ay isang open-world action-adventure RPG na itinakda sa madilim na hinaharap ng Night City—isang mapanganib na megalopolis na lulong sa kapangyarihan, karangyaan, at walang-humpay na pagbabago sa katawan.","Ang Cyberpunk 2077 ay bukas-mundong RPG na aksyon-adbentura sa dilim na kinabukasan ng Gabi Lungsod—isang delikadong megalopolis na mahilig sa kapangyarihan, glamor, at patuloy na pagpapalit ng katawan.",Direct translations sound robotic,Aira Garganera / Nigel Nograles
"The Galaxy's Last Line of Offence. Enlist in the Helldivers and join the fight for freedom across a hostile galaxy in a fast, frantic, and ferocious third-person shooter.","Ang Huling Depensa ng Kalawakan. Sumali sa Helldivers at makibaka para sa kalayaan sa gitna ng isang galaksiyang puno ng panganib sa isang mabilis, masigla, at mabagsik na third-person shooter.",Ang Huling Linya ng Pag-atake ng Kalawakan. Magpalista sa mga Tagasawsaw sa Impiyerno at sumama sa laban para sa kalayaan sa buong masamang kalawakan gamit ang mabilis at galit na third-person tagabaril.,"Mistranslated idioms, overly literal",Aira Garganera / Nigel Nograles
"Baldur's Gate 3 is a story-rich, party-based RPG set in the universe of Dungeons ; Dragons, where your choices shape a tale of fellowship and betrayal, survival and sacrifice, and the lure of absolute power.","Ang Baldur’s Gate 3 ay isang party-based RPG na hitik sa kwento, na nakaangkla sa mundo ng Dungeons & Dragons, kung saan ang iyong mga desisyon ay huhubog sa isang kwento ng pagkakaibigan at pagtataksil, pagkaligtas at sakripisyo, at sa tukso ng lubos na kapangyarihan.","Ang Baldur’s Gate 3 ay kwento-maraming RPG na grupong base sa uniberso ng Dungeon at Dragon, kung saan ang mga pinili mo ay bumubuo ng kwento ng samahan at panloloko, buhay at sakripisyo, at akit ng lubos na lakas.",Incorrect modifiers,Aira Garganera / Nigel Nograles
"Travel across Europe as king of the road, a trucker who delivers important cargo across impressive distances! With dozens of cities to explore, your endurance, skill and speed will all be pushed to their limits.","Maglakbay sa buong Europa bilang hari ng kalsada—isang truck driver na naghahatid ng mahahalagang kargamento sa malalayong lugar! Sa dami ng lungsod na maaaring galugarin, susubukin ang iyong tiyaga, galing, at bilis.","Biyahe sa Europa bilang hari ng daan, isang trak drayber na naghahatid ng mahalagang dala-dala sa napakahabang distansya! Maraming lungsod ang pwede mo galugarin, kaya pipilitin ang iyong lakas, abilidad at bilis.",Overly literal phrasing,Aira Garganera / Nigel Nograles
"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.","Itinanghal na Game of the Year nang higit sa 175 beses at tumanggap ng higit sa 250 perpektong puntos, ang RDR2 ay isang epikong kwento ni Arthur Morgan, isang kriminal, at ng kilalang Van der Linde gang habang tumatakas sila sa buong Amerika sa pagsisimula ng makabagong panahon. May kasamang access sa Red Dead Online.","Nanalo ng higit 175 Game of the Year at nakatanggap ng 250 perpektong marka, ang RDR2 ay epikong kwento ng labag-sa-batas Arthur Morgan at sikat na grupo Van der Linde habang sila ay tumatakbo sa Amerika sa simula ng modernong edad. Mayroon ding access sa Red Dead Online.",Literal terms,Aira Garganera / Nigel Nograles
"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.","Ang Destiny 2 ay isang MMO na puno ng aksyon, may iisang mundong patuloy na umuunlad na maaaring salihan ng iyong mga kaibigan kahit kailan at saan, nang libre.","Ang Destiny 2 ay isang MMO ng aksyon na may iisang nagbabagong mundo na ikaw at ang mga kaibigan mo ay pwedeng sumali kahit anong oras, kahit saan, libre talaga.",Informal and literal register,Aira Garganera / Nigel Nograles
Phasmophobia is a 4 player online co-op psychological horror. Paranormal activity is on the rise and it's up to you and your team to use all the ghost-hunting equipment at your disposal in order to gather as much evidence as you can.,Ang Phasmophobia ay isang online na kooperatibong psychological horror para sa apat na manlalaro. Tumitindi ang mga paranormal na aktibidad at nasa inyong koponan ang tungkuling gumamit ng mga kagamitan sa paghahanap ng multo upang makalikom ng sapat na ebidensya.,Ang Phasmophobia ay isang 4 na manlalaro na online co-op psychological horror. Ang paranormal na aktibidad ay tumataas at nasa sa iyo at sa iyong koponan na gamitin ang lahat ng kagamitan sa pangangaso ng multo na magagamit mo upang makakuha ng maraming ebidensya hangga't maaari.,Too literal; awkward phrasing,Aira Garganera / Nigel Nograles
An online and local party game of teamwork and betrayal for 4-15 players...in space!,Isang online at lokal na laro ng pagtutulungan at pagtataksil para sa 4 hanggang 15 na mga manlalaro… sa kalawakan!,Isang online at lokal na party game ng pagtutulungan at pagtataksil para sa 4-15 manlalaro...sa kalawakan!,,Aira Garganera / Nigel Nograles
Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,Magising bilang isang di-mapipigilang mandirigma at makipaglaban kasama ang iyong mga kaibigan sa isang mala-kwento at libreng online na laro ng aksyon.,Gumising bilang isang hindi mapipigilan na mandirigma at makipaglaban sa iyong mga kaibigan sa larong online na aksyong online na ito na may libreng laro,Mistranslated terms,Aira Garganera / Nigel Nograles
"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.","Ang War Thunder ay ang pinakakumprehensibong libre na cross-platform, MMO military game na nakatuon sa aviation, armoured vehicles, at naval craft, mula sa unang bahagi ng ika-20 siglo hanggang sa pinaka-masulong na modernong combat units. Sumali na ngayon at makibahagi sa mahahalagang labanan sa lupa, sa hangin, at sa dagat.","Ang War Thunder ay ang pinaka malawakang libreng upang maglaro, tawiran-plataporma, MMO militar na laro na nakahandog sa paglilipad, mga sasakyang may baluti, at mga barko sa dagat, mula sa maagang ika-dalawampung siglo hanggang sa pinaka sulong na makabagong mga yunit ng labanan. Sumama ngayon at kumuha ng bahagi sa malalaking mga labanan sa lupang, sa hangin, at sa karagatan.",Mistranslated terms,Aira Garganera / Nigel Nograles
"Trapped forever in a realm of eldritch evil where even death is not an escape, four determined Survivors face a bloodthirsty Killer in a vicious game of nerve and wits. Pick a side and step into a world of tension and terror with horror gaming's best asymmetrical multiplayer.","Nakulong magpakailanman sa isang kaharian ng kakaibang kasamaan kung saan maging ang pagkamatay ay hindi pagtakas, apat na matibay na loob na Survivors ay humaharap sa uhaw sa dugong Killer sa isang mabagsik na laro ng tapang at talino. Pumili ng panig at pumasok sa mundo ng tensyon at takot sa pinakamahusay na asymmetrical multiplayer horror game.","Nabitag magpakailanman sa isang lupain ng nakatatakot na masama kung saan kahit ang kamatayan ay hindi makakatakas, apat na natukoy na mga Nakaligtas ay humaharap sa nagkakaroon uhaw sa dugo na Pumatay sa masamang laro ng ugat at mga karunungan. Piliin ang isang gilid at hakbang sa isang mundo ng kabanalan at sindak kasama ang takot na paglalaro ng pinakamahusay na hindi pantay na maraming manlalaro.","Awkward wording; mistranslates ""where even death is not an escape""",Aira Garganera / Nigel Nograles
"You're a survivor in the zombie infested ruins of society, and must work with your friends and forge alliances to remain among the living.","Ikaw ay isa sa mga nakaligtas sa guho ng lipunan na puno ng zombie, at kailangan mong makipagtulungan sa inyong mga kaibigan at makipag-alyansa upang manatiling buhay.","Ikaw ay isang nakaligtas sa mga zombie na sumasaklaw sa mga wasak ng kamaynilaan, at dapat gumawa kasama ang inyong mga kaibigan at gumawa ng mga pakikipagkaibigan upang manatili sa gitna ng mga nabubuhay.",Too literal; awkward phrasing,Aira Garganera / Nigel Nograles
"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!","Naligaw sa mga baybayin ng mysterious island, matuto kang mabuhay. Gamitin ang inyong talino para pumatay o iamo ang mga primeval creatures na gumagala sa lupa, at makisalamuha ang ibang manlalaro upang mabuhay, mangibabaw... at tumakas!","Nakaligaw sa mga pampang ng isang lihim na pulo, ikaw ay dapat matuto upang magpatuloy sa buhay. Gamitin ang inyong pagiging tuso upang pumatay o gawing maamo ang mga unang mga nilalang na naglalakad sa lupa, at makasalubong ang ibang mga naglalaro upang magpatuloy sa buhay, maging nangingibabaw... at makawala!",Too literal; awkward phrasing,Aira Garganera / Nigel Nograles
"As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator.","Bilang natatanging nakaligtas sa pagbagsak ng passenger jet, natagpuan mo ang inyong sarili sa isang misteryosong gubat, nakikipaglaban upang manatiling buhay laban sa lipunan ng mga cannibalistic mutants. Magtatag, tumuklas, at mamalagi sa nakakatakot na first person survival horror simulator na ito.","Bilang natatanging nakaligtas ng isang sakay na eroplano na pagkakabagsak, nahanap mo ang inyong sarili sa isang lihim na kagubatan na nakikipaglaban upang manatili nabubuhay laban sa kamaynilaan ng mga kumakain ng tao na mga binago. Itayo, galugarin, magpatuloy sa buhay sa nakasisindak na unang tao pagkakaligtas takot na panggagaya na ito.","Awkward wording; mistranslates ""passenger jet crash""",Aira Garganera / Nigel Nograles
"Fall Guys is a free, cross-platform massively multiplayer party royale game. Clumsily compete in absurd obstacle courses with friends or build your very own chaotic course to share with the community.","Ang Fall Guys ay isang laganap na libreng, cross-platform multiplayer party royale game. Makipagkompetensyang padaskul-daskol sa mga kalibak-libak na balakid kasama ang mga kaibigan o magtayo ng sariling magulo-gulong course upang ibahagi sa komunidad.","Ang Fall Guys ay isang walang bayad, tumawid-plataporma napakaraming manlalaro kasayahan hari na laro. Makipagkompetensyang hindi marunong sa mga walang kabuluhan hadlang mga kurso kasama ang mga kaibigan o itayo ang inyong sariling magkakasamang gulo-gulong kurso upang hatiin sa pamayanan.",Too literal; awkward phrasing,Aira Garganera / Nigel Nograles
"PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.","Ang PAYDAY 2 ay isang puno ng aksyon, apat na manlalaro na co-op shooter na muling bigyan ng pagkakataon ang mga gamer na suotin ang maskara ng orihinal na crew ng PAYDAY - Dallas, Hoxton, Wolf at Chains - habang bumababa sila sa Washington DC para sa sunod-sunod na epik na mga krimen.","Ang PAYDAY 2 ay isang aksyon-nakabalot, apat-manlalaro pakikipagtulungan baril na minsan pa nagpapahintulot sa mga naglalaro na magsuot ang mga takip-mukha ng unang PAYDAY pangkat - Dallas, Hoxton, Wolf at Chains - habang sila ay bumababa sa Washington DC para sa isang matagumpay na krimen paglalakad.",Too literal; awkward phrasing,Aira Garganera / Nigel Nograles
"Rocket League is a high-powered hybrid of arcade-style soccer and vehicular mayhem with easy-to-understand controls and fluid, physics-driven competition. Rocket League includes casual and competitive Online Matches, a fully-featured offline Season Mode, special Mutators that let you change the rules entirely.","Ang Rocket League ay isang malakas na pinaghalong arcade-style soccer at vehicular mayhem na may madaling maintindihang mga kontrol at maayos, physics-driven na kompetisyon. Kasama sa Rocket League ang casual at competitive Online Matches, kumpletong offline Season Mode, mga espesyal na ""Mutators"" na hinahayaan kang baguhin nang buo ang mga patakaran."," Ang Rocket League ay isang mataas-lakas na timpla ng arcade-estilo sepak bola at sasakyang kaguluhan na may madali-upang-maintindihan mga pagkontrol at daloy, pisika-hinimok na paligsahan. Ang Rocket League ay nagsasama ng walang-pakialam at makikipaglaban na Tuwiran na mga Tugma, isang lubos-na-tampok na walang-koneksyon Panahon ng Moda, natatangi na ""mga Mutators"" na nagpapahintulot sa inyo na baguhin nang lubusan ang mga alituntunin.",Too literal; awkward phrasing,Aira Garganera / Nigel Nograles
"A brutal exploration and survival game for 1-10 players, set in a procedurally-generated purgatory inspired by viking culture. Battle, build, and conquer your way to a saga worthy of Odin's patronage!","Isang mabagsik na exploration at survival game para sa 1 hanggang 10 manlalaro, na nakatakda sa procedurally-generated purgatoryo na kumukuha ng inspirasyon mula sa viking culture. Lumaban, magtayo, at magsakop tungo sa isang sagang karapat-dapat sa patronage ni Odin!","Isang brutal na exploration at survival game para sa 1-10 manlalaro, na itinakda sa isang procedurally-generated purgatory na inspirasyon ng viking culture. Labanan, bumuo, at lupigin ang iyong paraan sa isang alamat na karapat-dapat sa pagtangkilik ni Odin!",Grammar issues,Aira Garganera / Nigel Nograles
A co-op horror about scavenging at abandoned moons to sell scrap to the Company.,Isang co-op horror tungkol sa paghahanap ng mga materyales sa mga naiwang buwan upang ibenta ang mga bakal sa Kumpanya.,Isang pakikipagtulungan takot tungkol sa pagkukulimbat sa mga pinabayaang mga buwan upang magbenta ng mga kalat sa Kompanya.,Too literal; awkward phrasing,Aira Garganera / Nigel Nograles
"An epic platform fighter for up to 8 players online or local. Try casual free-for-alls, ranked matches, or invite friends to a private room. And it's free! Play cross-platform with millions of players on PlayStation, Xbox, Nintendo Switch, iOS, Android ; Steam! Frequent updates. Over sixty Legends.","Isang epikong platform fighter para sa hanggang 8 manlalaro online man o lokal. Subukan ang casual free-for-alls, ranked na labanan, o mag-imbita ng mga kaibigan sa private room. At libre ito! Maglaro cross-platform kasama ang milyun-milyong manlalaro sa PlayStation, Xbox, Nintendo Switch, iOS, Android at Steam! Ito ay may madalas na mga update. Mahigit animnapung mga Legends.","Isang epic platform fighter para sa hanggang 8 manlalaro online o lokal. Subukan ang mga kaswal na free-for-alls, mga ranggo na laban, o mag-imbita ng mga kaibigan sa isang pribadong kwarto. At ito ay libre! Maglaro ng cross-platform sa milyun-milyong manlalaro sa PlayStation, Xbox, Nintendo Switch, iOS, Android ; singaw! Madalas na pag-update. Mahigit animnapung Alamat.","Translates proper names e.g., ""Steam""",Aira Garganera / Nigel Nograles
"First-person action survival game set in a post-apocalyptic open world overrun by flesh-hungry zombies. Roam a city devastated by a mysterious virus epidemic. Scavenge for supplies, craft weapons, and face hordes of the infected.","Isang first-person na larong aksyon at survival sa isang bukas na mundo matapos ang isang apokalipsis, kung saan naglipana ang mga zombie na uhaw sa laman. Maglibot sa isang lungsod na winasak ng misteryosong virus. Maghanap ng gamit, gumawa ng mga sandata, at harapin ang mga nagkakahugos na infected.","First-person action survival game na itinakda sa post-apocalyptic na bukas na mundo na tinatakpan ng mga zombie na gutom sa laman. Maggala sa isang lungsod na sinalanta ng isang misteryosong epidemya ng virus. Mag-scavenge para sa mga supply, gumawa ng mga sandata, at harapin ang mga sangkawan ng mga nahawahan.",,Aira Garganera / Nigel Nograles
Jump and fly your way through danger in this rhythm-based action platformer!,Tumalon at lumipad sa gitna ng panganib sa ritmo-based aksyon na platformer na ito!,Tumalon at lumipad sa iyong paraan sa pamamagitan ng panganib sa ritmo-based action platformer na ito!,"Too literal; Improperly translates ""through""",Aira Garganera / Nigel Nograles
"Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend bizarre bugs, all in a classic, hand-drawn 2D style.","Gumawa ng sarili mong landas sa Hollow Knight! Isang epic action adventure sa gitna ng malawak at wasak na kaharian ng mga insekto at bayani. Galugarin ang mga paikot-ikot na mga yungib, labanan ang mga nilalang na may bahid ng batik at kaibiganin ang mga kakaibang bug, lahat sa klasiko, hand-drawn na istilong 2D.","Gumawa ng sarili mong landas sa Hollow Knight! Isang epic action adventure sa pamamagitan ng malawak na wasak na kaharian ng mga insekto at bayani. I-explore ang mga twisting cavern, labanan ang mga nilalang na may bahid ng batik at kaibiganin ang mga kakaibang bug, lahat sa klasiko, hand-drawn na istilong 2D.","Improperly translates ""through""",Aira Garganera / Nigel Nograles
"Overwatch 2 is a critically acclaimed, team-based shooter game set in an optimistic future with an evolving roster of heroes. Team up with friends and jump in today.","Ang Overwatch 2 ay isang kinikilalang team-based na larong barilan na nakatakda sa isang positibong hinaharap, na may lumalawak na listahan ng mga bayani. Makipagsanib-puwersa sa mga kaibigan at sumabak na ngayon.","Ang Overwatch 2 ay isang critically acclaimed, team-based na laro ng shooter na itinakda sa isang optimistikong hinaharap na may umuusbong na listahan ng mga bayani. Makipagtulungan sa mga kaibigan at tumalon ngayon.",Awkward phrasing,Aira Garganera / Nigel Nograles
"Paladins is the ultimate fantasy team-based shooter experience, with over 50 customizable Champions fighting in 5v5 action across a diverse Realm of modes and maps!","Ang Paladins ay ang ultimong fantasy team-based shooter na karanasan, na may humigit kumulang 50 Champions na puwedeng i-customize, nakikipaglaban nang 5v5 tampok ng aksyon sa iba't ibang Realm ng mga mode at mapa!","Ang Paladins ay ang tunay na fantasy team-based na karanasan sa shooter, na may higit sa 50 nako-customize na mga Champions na lumalaban sa 5v5 na aksyon sa iba't ibang Realm ng mga mode at mapa!",Awkward phrasing,Aira Garganera / Nigel Nograles
"Fight, Farm, Build and Explore Together in the standalone multiplayer expansion to the uncompromising wilderness survival game, Don't Starve.","Lumaban, Magtanim, Magtayo, at Mag-eksplora nang magkakasama sa hiwalay na multiplayer na bersyon ng matinding larong survival, Don't Starve.","Lumaban, Magsasaka, Bumuo at Mag-explore Magkasama sa standalone na pagpapalawak ng Multiplayer sa walang kompromiso na laro ng kaligtasan ng kagubatan, Huwag Magutom.","Too literal; Translates proper names e.g., ""Dont Starve""",Aira Garganera / Nigel Nograles
The CPU executes instructions in the order defined by the program counter,Isinasagawa ng CPU ang mga utos ayon sa binigay na pagkakasunod-sunod ng program counter,Ang CPU ay gumagawa ng utos ayon sa program counter,Mistranslation,Paul Ivan Enclonar/Alonzo Rimando
RAM temporarily stores data that the processor uses for quick access,Pansamantalang iniimbak ng RAM ang datos na kailangan ng processor para mabalis niyang magamit,Ang RAM ay nagtatago ng datos minsan para gamitin ng processor nang mabilis,Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
A firewall helps prevent unauthorized access to a network,Tinutulungan ng firewall na pigilan ang hindi awtorisadong paggamit ng network,Ang firewall ay tinutulungan pigilan ang hindi awtorisadong access sa isang network,Literal Translation,Paul Ivan Enclonar/Alonzo Rimando
This study investigates the performance of deep learning models on time-series data,Iniimbestigahan ng pag-aaral na ito ang kahusayan ng mga deep learning model sa time-series na datos,Ang pag-aaral na ito ay nagiimbestiga ng mga gawa ng mga deep learning models sa datos na time-series.,Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
The experiment was conducted in a controlled laboratory environment,Isinagawa ang eksperimento sa isang laboratoryo kung saan kontrolado ang kapaligiran,Ang eksperimento ay ginawa sa isang kontroladong laboratoryo paligiran.,Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
The results suggest a strong correlation between data quality and model accuracy,Ipinapahiwatig ng mga resulta na matibay ang ugnayan ng kalidad ng datos at kawastusan ng model,Ang mga results ay hinihiwatig na malakas ang ugnayan ng datos kalidad at model kawastusan,Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
The proposed algorithm significantly reduces computation time,Malaki ang ibinawas ng iminungkahing algoritmo sa oras ng komputasyon.,Ang iminungkahing algoritmo ay nagbawas ng malaking oras sa komputasyon.,Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
We utilized Python and TensorFlow for model implementation,Ginamit namin ang Python at TensorFlow sa paggawa ng modelo.,"Gamit ang Python at TensorFlow, ipinatupad ang model",Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
Data were preprocessed using normalization and feature extraction,Inihanda ang datos sa pamamagitan ng normalisasyon at feature extraction,Ang data ay nilinis gamit ang normalization at feature extraction,Literal Translation,Paul Ivan Enclonar/Alonzo Rimando
This framework enables more efficient data collection in urban settings.,Binibigyang-daan ng balangkas na ito ang mas episyenteng pagkalap ng datos sa mga urbanong lugar,Ang system na ito ay mas madali sa data gathering sa city,Mistranslation,Paul Ivan Enclonar/Alonzo Rimando
Limitations of the study include the small sample size and data availability,Kabilang sa mga limitasyon ng pag-aaral ang maliit na sukat ng sample size at datos,Ang limits ng study ay maliit ang sample at data availability,Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
Results were validated using cross-validation and benchmark datasets,Binalidate ang mga results gamit ang cross-validation at mga benchmark,Na-check ang results gamit ang pagbalidate sa krus at upuan.,Literal Translation,Paul Ivan Enclonar/Alonzo Rimando
The literature review highlights gaps in existing mobility prediction.,Ipinapakita ng rebyu ng literatura ang limitasyon ng mga kasalukuyang modelo para sa prediction ng mobilidad,Ang literature review ay nagpakita ng kulang sa mobility models.,Unnatural Phrasing,Paul Ivan Enclonar/Alonzo Rimando
